DATAFLOW,LAST UPDATE,freq,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BG,2009,26.9,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BG,2010,27.4,b
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BG,2011,27.5,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BG,2012,27.1,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BG,2013,26.8,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BG,2014,26.8,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BG,2015,26.8,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BG,2016,27.0,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BG,2017,26.5,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BG,2018,27.5,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BG,2019,27.6,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BG,2020,27.8,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BG,2021,28.5,b
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BG,2022,28.0,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,BG,2023,28.2,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CY,2000,24.4,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CY,2001,24.7,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CY,2002,25.1,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CY,2003,24.8,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CY,2004,25.0,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CY,2005,25.4,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CY,2006,25.3,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CY,2007,25.4,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CY,2008,25.5,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CY,2009,25.7,b
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CY,2010,25.2,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CY,2011,25.4,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CY,2012,25.8,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CY,2013,26.7,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CY,2014,27.4,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CY,2015,27.5,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CY,2016,26.7,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CY,2017,26.5,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CY,2018,26.5,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CY,2019,26.3,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CY,2020,26.2,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CY,2021,26.5,b
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CY,2022,26.7,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CY,2023,26.7,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CZ,2002,25.4,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CZ,2003,25.4,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CZ,2004,25.4,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CZ,2005,25.7,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CZ,2006,25.8,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CZ,2007,26.0,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CZ,2008,26.0,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CZ,2009,25.8,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CZ,2010,25.7,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CZ,2011,25.9,b
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CZ,2012,25.6,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CZ,2013,25.6,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CZ,2014,25.4,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CZ,2015,25.4,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CZ,2016,24.9,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CZ,2017,25.1,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CZ,2018,25.1,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CZ,2019,24.7,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CZ,2020,24.7,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CZ,2021,24.7,b
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CZ,2022,24.6,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,CZ,2023,24.1,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,DE,2000,22.9,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,DE,2001,22.9,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,DE,2002,22.8,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,DE,2003,22.9,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,DE,2004,22.9,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,DE,2005,22.7,b
